"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"loa";"loa_mais_credito";"empenhado";"pago"
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"3110";"CT-Info e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";0;42921121;42921121;42921121
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1107";"CT-Petro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";741913996;452699224;452672611;286113318
2023;"71101";"Recursos sob Supervisão do Ministério da Fazenda";"1074";"Encargos de Responsabilidade do Fundo Contingente da Extinta Rede Ferroviária Federal S.A";579906141;579906141;0;0
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"3104";"CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";0;1.8e+08;1.8e+08;1.8e+08
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1099";"CT-Biotecnologia e Recursos Genéticos, e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";96501300;20125001;20125001;9243220
2023;"39254";"Agência Nacional de Aviação Civil - ANAC";"1089";"Fundo Aeroviário, para Desenvolvimento do Ensino Profissional Aeronáutico";187797159;0;0;0
2023;"74914";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Centro-Oeste/FCO - MDR";"1208";"Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Centro-Oeste";4413485665;4536445441;4536445441;4268895829
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1112";"CT-Amazônia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";14406611;45974466;45974466;45974466
2023;"25104";"Procuradoria-Geral da Fazenda Nacional";"1031";"FUNDAF - PGFN";3930752415;3925393880;1319395177;1251780509
2023;"44102";"Serviço Florestal Brasileiro - SFB";"1068";"FNDF - Fundo Nacional de Desenvolvimento Florestal";0;5495742;19784;19784
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1103";"CT-Aquaviário e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";3881837;3881837;3881836;3829848
2023;"54902";"Fundo Nacional de Cultura";"1029";"Fundo Setorial do Audiovisual - FSA, para o Desenvolvimento de Atividades Audiovisuais";895404079;0;0;0
2023;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"1125";"Benefícios do Regime Próprio de Previdência Social do FCDF – Contribuição Patronal";211681502;202553918;202553918;202368279
2023;"74919";"Recursos sob Supervisão do Fundo de Desenvolvimento do Centro-Oeste/FDCO - MDR";"1114";"Pesquisa, Desenvolvimento e Tecnologia de Interesse do Desenvolvimento Regional";1149449;1149449;0;0
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1103";"CT-Aquaviário e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";37292301;37292301;37292301;37292301
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1118";"CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";119303723;485137932;485137932;485137932
2023;"30108";"Departamento de Polícia Federal";"1019";"FUNAPOL";556278745;551672022;540421410;447716252
2023;"44901";"Fundo Nacional de Meio Ambiente - FNMA";"1069";"Recursos Arrecadados em Pagamento de Multas por Infração Ambiental a Serem Revertidos a Fundos";36520580;36518180;3497599;3497599
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1097";"CT-Aeronáutico e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";100361575;19840949;19840948;11839658
2023;"33904";"Fundo do Regime Geral de Previdência Social";"1040";"Seguro-Desemprego, Abono Salarial e Previdência Social";0;20109428507;20109428506;15964492319
2023;"39905";"Fundo Nacional de Segurança e Educação do Trânsito - FUNSET";"1020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";680018949;657018938;62947323;42109121
2023;"30107";"Departamento de Polícia Rodoviária Federal";"3020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";0;119980275;119980275;57727535
2023;"74920";"Recursos sob Supervisão do Fundo de Universalização dos Serviços de Telecomunicações - FUST – M. Comunicações";"3044";"Recursos do FISTEL destinados ao FUST";0;59869051;59869051;59869051
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1108";"CT-Energia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";297941386;72033121;72033120;50146182
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1102";"CT-Verde Amarelo (Programa de Inovação para Competitividade) e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais, Equalização de Taxas de Juros e Investimentos em Empresas Inovadoras";278822986;266375628;266375628;242504403
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1109";"CT-Hidro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";45938523;15539512;15539512;12002052
2023;"41231";"Agência Nacional de Telecomunicações - ANATEL";"1120";"Recursos do FISTEL de Livre Aplicação na ANATEL e no Tesouro Nacional";200530589;176806034;172233731;120595388
2023;"41101";"Ministério das Comunicações - Administração Direta";"1120";"Recursos do FISTEL de Livre Aplicação na ANATEL e no Tesouro Nacional";478555107;201772780;200873850;118869092
2023;"68213";"Agência Nacional de Aviação Civil - ANAC";"1088";"Fundo Aeroviário, para Execução e Manutenção do Sistema Aeroviário Nacional";0;19999364;14976198;14527072
2023;"25103";"Secretaria Especial da Receita Federal do Brasil";"1032";"FUNDAF - RFB";9366914734;9300033423;8229758797;7237808520
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1098";"CT-Agronegócio e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";370775226;546803125;546803125;546803125
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1100";"CT-Saúde e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";361587168;544434015;544434015;544434015
2023;"33904";"Fundo do Regime Geral de Previdência Social";"1054";"Benefícios do Regime Geral de Previdência Social";0;590445642352;590445600395;546903795364
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1105";"CT-Mineral e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";34780837;26576171;26576171;26576171
2023;"40904";"Fundo do Regime Geral de Previdência Social";"1040";"Seguro-Desemprego, Abono Salarial e Previdência Social";22705665374;0;0;0
2023;"39254";"Agência Nacional de Aviação Civil - ANAC";"1088";"Fundo Aeroviário, para Execução e Manutenção do Sistema Aeroviário Nacional";21809388;0;0;0
2023;"68213";"Agência Nacional de Aviação Civil - ANAC";"1089";"Fundo Aeroviário, para Desenvolvimento do Ensino Profissional Aeronáutico";0;191567159;8444912;7224370
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1105";"CT-Mineral e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";38499334;16704000;16703999;4143347
2023;"73108";"Transferências Constitucionais - Recursos sob Supervisão do Ministério da Fazenda";"1202";"Transferência Constitucional do Fundo de Participação dos Estados e do Distrito Federal";158149902946;162306218034;162306218034;155368176472
2023;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"1055";"Benefícios do Regime Próprio de Previdência Social do FCDF – Contribuição do Segurado";189755130;179320315;179320315;179320315
2023;"71903";"Fundo Social - FS";"1042";"Capitalização do Fundo Social";15317148126;15317148126;0;0
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1102";"CT-Verde Amarelo (Programa de Inovação para Competitividade) e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais, Equalização de Taxas de Juros e Investimentos em Empresas Inovadoras";71038535;83485893;83485893;83485893
2023;"42902";"Fundo Nacional de Cultura";"3029";"Fundo Setorial do Audiovisual - FSA, para o Desenvolvimento de Atividades Audiovisuais";0;49533938;49533938;49533938
2023;"39252";"Departamento Nacional de Infraestrutura de Transportes - DNIT";"1020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";813466361;812781820;463824919;270230731
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1100";"CT-Saúde e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";250670495;67823648;67823647;47529602
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1106";"Recursos do FISTEL destinados ao CT-Espacial e a Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";1353811;802375;802375;509839
2023;"33904";"Fundo do Regime Geral de Previdência Social";"3054";"Benefícios do Regime Geral de Previdência Social";0;1761382719;1761382719;1761382719
2023;"41260";"Telecomunicações Brasileiras S.A. - TELEBRAS";"1120";"Recursos do FISTEL de Livre Aplicação na ANATEL e no Tesouro Nacional";0;10739713;10739713;10739713
2023;"52931";"Fundo Naval";"1115";"Projetos do Comando da Marinha para Construção e Reparos de Embarcações em Estaleiros Brasileiros";171558904;56916708;56916009;40245566
2023;"73108";"Transferências Constitucionais - Recursos sob Supervisão do Ministério da Fazenda";"3201";"Transferência Constitucional do Fundo de Participação dos Municípios";0;4782793735;4782793735;4782793735
2023;"74920";"Recursos sob Supervisão do Fundo de Universalização dos Serviços de Telecomunicações - FUST – M. Comunicações";"1044";"Recursos do FISTEL destinados ao FUST";442656905;350794752;350794752;350794752
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1119";"Recursos do FISTEL destinados ao CT-Infra e a Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";6573;0;0;0
2023;"40901";"Fundo de Amparo ao Trabalhador";"1022";"Aplicações da cota-parte da contribuição sindical no FAT";6585145;6585145;6585145;6585145
2023;"40904";"Fundo do Regime Geral de Previdência Social";"1054";"Benefícios do Regime Geral de Previdência Social";594917371919;0;0;0
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1104";"CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";36349372;6.8e+07;6.8e+07;6.8e+07
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1109";"CT-Hidro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";43998946;74397957;74397957;74397957
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1119";"Recursos do FISTEL destinados ao CT-Infra e a Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";0;6573;6573;6573
2023;"44901";"Fundo Nacional de Meio Ambiente - FNMA";"3069";"Recursos Arrecadados em Pagamento de Multas por Infração Ambiental a Serem Revertidos a Fundos";0;8997;8429;8429
2023;"74904";"Recursos sob Supervisão do Fundo da Marinha Mercante/FMM - M. de Portos e Aeroportos";"1091";"Encargos da Intervenção da União no Apoio ao Desenvolvimento da Marinha Mercante e da Indústria de Construção e Reparação Naval Brasileiras";1459966278;1459966278;0;0
2023;"74913";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Norte/FNO - MDR";"1207";"Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Norte";4413485665;4536445441;4536445441;4268895829
2023;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"1024";"Pensões Militares e Remuneração dos Inativos Militares do FCDF";478538920;507627571;507627571;503523371
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1136";"CT-Transporte e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";12772;0;0;0
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1101";"CT-Verde Amarelo (Programa de Estímulo à Interação Universidade-Empresa para o Apoio à Inovação) e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";295845061;533629410;533629410;533629410
2023;"26298";"Fundo Nacional de Desenvolvimento da Educação";"1014";"Recursos do Fundo Social Destinados à Educação Pública, com Prioridade para Educação Básica, e à Saúde";0;13686043608;13686043608;10885374667
2023;"22106";"Serviço Florestal Brasileiro - SFB";"1068";"FNDF - Fundo Nacional de Desenvolvimento Florestal";6725461;0;0;0
2023;"73108";"Transferências Constitucionais - Recursos sob Supervisão do Ministério da Fazenda";"1201";"Transferência Constitucional do Fundo de Participação dos Municípios";182056283623;186840878900;181934335565;174585360627
2023;"25103";"Secretaria Especial da Receita Federal do Brasil";"3032";"FUNDAF - RFB";0;862317505;862136546;844511110
2023;"74915";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Nordeste/FNE - MDR";"1210";"Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Nordeste - Semiárido";6620228494;6804668163;6798625362;6503784131
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1118";"CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";829120554;463286345;463286345;438677994
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1108";"CT-Energia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";294661127;520569392;520569392;520569392
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1136";"CT-Transporte e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";11535;0;0;0
2023;"74915";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Nordeste/FNE - MDR";"1209";"Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Nordeste";6620228494;6804668163;6798625362;6403343744
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"3107";"CT-Petro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";0;5e+08;5e+08;5e+08
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1097";"CT-Aeronáutico e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";162034566;242555192;242555192;242555192
2023;"40101";"Ministério do Trabalho e Emprego - Administração Direta";"1084";"FGTS";90246832;76973062;76972062;76972062
2023;"32265";"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"1028";"Financiamento de Estudos e Serviços de Geologia e Geofísica Aplicados à Prospecção de Combustíveis Fósseis";1786846391;1786846391;0;0
